episode,reward,steps
981,17.0,970
982,10.0,475
983,15.0,987
984,11.0,1134
985,11.0,799
986,14.0,931
987,8.0,380
988,14.0,842
989,9.0,384
990,15.0,979
991,15.0,799
992,16.0,1242
993,6.0,386
994,9.0,643
995,27.0,1501
996,11.0,856
997,7.0,680
998,10.0,644
999,10.0,802
1000,14.0,872
1001,6.0,526
1002,19.0,753
1003,12.0,547
1004,18.0,1094
1005,7.0,517
1006,19.0,1066
1007,11.0,612
1008,10.0,769
1009,11.0,784
1010,12.0,830
1011,17.0,1271
1012,12.0,852
1013,15.0,926
1014,16.0,1143
1015,7.0,357
1016,14.0,678
1017,6.0,389
1018,4.0,665
1019,5.0,343
1020,18.0,820
1021,9.0,799
1022,13.0,823
1023,6.0,484
1024,7.0,491
1025,15.0,672
1026,15.0,797
1027,6.0,449
1028,7.0,582
1029,9.0,649
1030,15.0,874
1031,17.0,962
1032,17.0,850
1033,14.0,789
1034,12.0,619
1035,20.0,1087
1036,12.0,650
1037,15.0,817
1038,13.0,711
1039,15.0,965
1040,12.0,629
1041,12.0,626
1042,19.0,933
1043,15.0,890
1044,12.0,682
1045,2.0,342
1046,17.0,1579
1047,17.0,1266
1048,11.0,635
1049,6.0,367
1050,8.0,388
1051,6.0,644
1052,10.0,1145
1053,10.0,798
1054,19.0,902
1055,14.0,1356
1056,7.0,614
1057,5.0,402
1058,16.0,932
1059,9.0,515
1060,20.0,1213
1061,13.0,1457
1062,13.0,769
1063,16.0,864
1064,12.0,813
1065,4.0,538
1066,11.0,508
1067,12.0,876
1068,12.0,853
1069,19.0,1152
1070,7.0,692
1071,15.0,999
1072,10.0,787
1073,30.0,1970
1074,26.0,973
1075,7.0,543
1076,6.0,520
1077,15.0,818
1078,15.0,966
1079,9.0,480
1080,14.0,966
1081,7.0,519
1082,21.0,933
1083,12.0,540
1084,14.0,623
1085,8.0,676
1086,4.0,338
1087,5.0,365
1088,7.0,493
1089,8.0,682
1090,13.0,739
1091,11.0,803
1092,10.0,524
1093,16.0,913
1094,12.0,710
1095,22.0,1177
1096,9.0,635
1097,11.0,816
1098,12.0,903
1099,16.0,1057
1100,17.0,737
1101,16.0,958
1102,13.0,795
1103,7.0,520
1104,15.0,943
1105,10.0,664
1106,9.0,632
1107,16.0,970
1108,15.0,613
1109,6.0,472
1110,9.0,787
1111,3.0,405
1112,12.0,684
1113,7.0,468
1114,12.0,1127
1115,12.0,849
1116,12.0,747
1117,8.0,397
1118,11.0,529
1119,22.0,1078
1120,5.0,424
1121,9.0,892
1122,8.0,448
1123,9.0,701
1124,8.0,372
1125,5.0,390
1126,10.0,677
1127,10.0,710
1128,15.0,1115
1129,17.0,1136
1130,11.0,647
1131,10.0,502
1132,7.0,671
1133,6.0,648
1134,26.0,1564
1135,6.0,518
1136,5.0,389
1137,10.0,762
1138,9.0,679
1139,14.0,815
1140,9.0,385
1141,22.0,1492
1142,17.0,1005
1143,14.0,901
1144,23.0,1072
1145,3.0,368
1146,9.0,803
1147,9.0,619
1148,8.0,397
1149,9.0,513
1150,10.0,788
1151,12.0,867
1152,17.0,910
1153,11.0,663
1154,12.0,805
1155,7.0,540
1156,13.0,811
1157,8.0,387
1158,6.0,373
1159,12.0,694
1160,14.0,692
1161,17.0,966
1162,10.0,580
1163,6.0,426
1164,10.0,617
1165,10.0,681
1166,5.0,342
1167,4.0,588
1168,15.0,985
1169,15.0,643
1170,11.0,688
1171,10.0,662
1172,5.0,397
1173,6.0,364
1174,9.0,662
1175,19.0,1098
1176,19.0,1130
1177,4.0,485
1178,21.0,1204
1179,10.0,369
1180,9.0,493
1181,11.0,672
1182,9.0,679
1183,13.0,821
1184,10.0,683
1185,5.0,517
1186,11.0,846
1187,10.0,730
1188,17.0,693
1189,6.0,418
1190,13.0,664
1191,6.0,660
1192,15.0,797
1193,11.0,697
1194,17.0,807
1195,3.0,485
1196,11.0,657
1197,8.0,482
1198,16.0,818
1199,4.0,525
1200,24.0,1144
1201,19.0,1176
1202,10.0,866
1203,18.0,899
1204,16.0,937
1205,16.0,562
1206,25.0,1524
1207,12.0,659
1208,8.0,806
1209,18.0,1079
1210,6.0,637
1211,15.0,1013
1212,30.0,1397
1213,17.0,937
1214,9.0,526
1215,8.0,653
1216,10.0,660
1217,9.0,555
1218,12.0,672
1219,11.0,745
1220,26.0,1240
1221,23.0,1015
1222,15.0,1226
1223,16.0,974
1224,18.0,877
1225,12.0,823
1226,16.0,839
1227,8.0,479
1228,16.0,947
1229,4.0,506
1230,10.0,635
1231,7.0,383
1232,21.0,1132
1233,6.0,685
1234,3.0,395
1235,9.0,737
1236,11.0,837
1237,8.0,610
1238,8.0,636
1239,4.0,374
1240,6.0,545
1241,12.0,646
1242,20.0,899
1243,11.0,692
1244,15.0,689
1245,12.0,806
1246,12.0,631
1247,19.0,775
1248,17.0,813
1249,6.0,565
1250,11.0,678
1251,9.0,735
1252,9.0,411
1253,22.0,1369
1254,12.0,762
1255,12.0,818
1256,13.0,771
1257,12.0,711
1258,14.0,979
1259,10.0,656
1260,7.0,363
1261,15.0,1105
1262,9.0,633
1263,7.0,572
1264,8.0,617
1265,5.0,403
1266,8.0,684
1267,14.0,1252
1268,12.0,703
1269,16.0,910
1270,9.0,812
1271,14.0,780
1272,6.0,499
1273,7.0,558
1274,25.0,1264
1275,20.0,1478
1276,6.0,646
1277,13.0,754
1278,10.0,851
1279,4.0,492
1280,3.0,482
1281,4.0,440
1282,12.0,843
1283,4.0,396
1284,16.0,1022
1285,10.0,633
1286,4.0,380
1287,14.0,871
1288,6.0,510
1289,6.0,473
1290,26.0,1499
1291,11.0,634
1292,9.0,811
1293,8.0,628
1294,12.0,653
1295,11.0,698
1296,9.0,375
1297,14.0,656
1298,11.0,944
1299,11.0,669
1300,12.0,806
1301,8.0,541
1302,7.0,440
1303,11.0,652
1304,15.0,819
1305,16.0,1287
1306,10.0,635
1307,17.0,713
1308,17.0,952
1309,15.0,946
1310,15.0,666
1311,15.0,641
1312,14.0,647
1313,7.0,371
1314,24.0,1453
1315,6.0,389
1316,8.0,538
1317,12.0,731
1318,10.0,603
1319,12.0,852
1320,12.0,766
1321,16.0,835
1322,12.0,660
1323,7.0,652
1324,12.0,851
1325,7.0,580
1326,12.0,652
1327,16.0,1092
1328,11.0,690
1329,14.0,977
1330,11.0,693
1331,14.0,664
1332,7.0,512
1333,5.0,392
1334,17.0,1099
1335,10.0,742
1336,16.0,796
1337,6.0,643
1338,16.0,675
1339,17.0,1015
1340,6.0,565
1341,10.0,619
1342,7.0,590
1343,23.0,909
1344,20.0,841
1345,17.0,1010
1346,11.0,801
1347,9.0,521
1348,26.0,1299
1349,7.0,389
1350,5.0,488
1351,21.0,1052
1352,16.0,815
1353,9.0,520
1354,12.0,813
1355,11.0,713
1356,4.0,404
1357,11.0,752
1358,10.0,680
1359,7.0,472
1360,19.0,769
1361,27.0,1334
1362,13.0,663
1363,5.0,567
1364,6.0,570
1365,15.0,693
1366,12.0,726
1367,11.0,676
1368,15.0,813
1369,12.0,847
1370,22.0,1031
1371,9.0,515
1372,16.0,953
1373,13.0,635
1374,13.0,1128
1375,12.0,702
1376,13.0,689
1377,14.0,687
1378,21.0,858
1379,14.0,971
1380,15.0,1103
1381,9.0,619
1382,16.0,625
1383,15.0,808
1384,15.0,989
1385,9.0,710
1386,26.0,1509
1387,18.0,859
1388,9.0,512
1389,22.0,1085
1390,9.0,613
1391,27.0,1337
1392,6.0,645
